SRR23800641	6.2e+6	Targeted-Capture	Rice_ViroCap_WWTP J
SRR23800642	1.3e+6	Targeted-Capture	Rice_ViroCap_WWTP I
SRR23800643	11.1e+6	Targeted-Capture	Rice_ViroCap_Jail H
SRR23800644	6.1e+6	Targeted-Capture	Rice_ViroCap_Shel G
SRR23800645	9.1e+6	Targeted-Capture	Rice_ViroCap_Shel F
SRR23800646	1.4e+6	Targeted-Capture	Rice_ViroCap_NH E
SRR23800647	13.7e+6	Targeted-Capture	Rice_ViroCap_NH D
SRR23800648	9.7e+6	Targeted-Capture	Rice_ViroCap_HS C
SRR23800649	37.0e+6	WGS	Rice_ViroCap_WWTP O_untargetedMF
SRR23800650	5.8e+6	Targeted-Capture	Rice_ViroCap_WWTP O_targetedDE
SRR23800651	34.7e+6	WGS	Rice_ViroCap_WWTP M_untargetedMF
SRR23800652	560.9e+3	Targeted-Capture	Rice_ViroCap_WWTP M_targetedDE
SRR23800653	10.7e+6	Targeted-Capture	Rice_ViroCap_WWTP O
SRR23800654	7.9e+6	Targeted-Capture	Rice_ViroCap_WWTP N
SRR23800655	12.8e+6	Targeted-Capture	Rice_ViroCap_WWTP M
SRR23800656	11.9e+6	Targeted-Capture	Rice_ViroCap_WWTP L
SRR23800657	3.7e+6	Targeted-Capture	Rice_ViroCap_WWTP K
SRR23800658	865.1e+3	Targeted-Capture	Rice_ViroCap_ECC B
SRR23800659	1.3e+6	Targeted-Capture	Rice_ViroCap_ECC A
