SRR23083716	I	2022-01-09
SRR23083718	I	2022-01-02
SRR23083720	H	2021-12-26
SRR23083722	H	2021-12-19
SRR23083725	H	2021-12-05
SRR23083727	H	2022-01-09
SRR23083729	H	2022-01-02
SRR23083731	G	2021-12-26
SRR23083733	G	2021-12-19
SRR23083734	A	2021-12-12
SRR23083736	G	2021-12-12
SRR23083738	G	2021-12-05
SRR23083740	G	2022-01-09
SRR23083742	G	2022-01-02
SRR23083744	F	2021-12-26
SRR23083747	F	2021-12-19
SRR23083749	F	2021-12-12
SRR23083751	F	2021-12-05
SRR23083753	F	2022-01-09
SRR23083755	F	2022-01-02
SRR23083756	A	2021-12-05
SRR23083758	E	2021-12-26
SRR23083760	E	2021-12-19
SRR23083762	E	2021-12-12
SRR23083764	E	2021-12-05
SRR23083766	E	2022-01-09
SRR23083769	E	2022-01-02
SRR23083771	D	2021-12-19
SRR23083773	D	2021-12-12
SRR23083775	D	2021-12-05
SRR23083778	J	2022-01-09
SRR23083780	J	2022-01-02
SRR23083782	I	2021-12-26
SRR23083784	I	2021-12-19
SRR23083786	I	2021-12-12
SRR23083787	A	2021-12-19
SRR23083789	I	2021-12-05
SRR23083790	D	2022-01-09
SRR23083792	A	2022-01-09
SRR23083794	C	2021-12-19
SRR23083795	C	2021-12-05
SRR23083797	C	2022-01-09
SRR23083798	C	2022-01-02
SRR23083799	B	2021-12-26
SRR23083801	B	2021-12-19
SRR23083804	B	2021-12-12
SRR23083806	B	2021-12-05
SRR23083808	B	2022-01-09
SRR23083810	B	2022-01-02
SRR23083813	A	2021-12-26
SRR23083818	J	2021-12-26
SRR23083820	J	2021-12-19
SRR23083822	J	2021-12-12
SRR23083823	J	2021-12-05
SRR23083825	A	2022-01-02
