run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083813	SAMN32742899	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/013/SRR23083813/SRR23083813.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/013/SRR23083813/SRR23083813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/013/SRR23083813/SRR23083813_2.fastq.gz	A_122621	2023-01-16
SRR23083814	SAMN32742909	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/014/SRR23083814/SRR23083814_1.fastq.gz	C_121221	2023-01-16
SRR23083815	SAMN32742910	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/015/SRR23083815/SRR23083815_1.fastq.gz	C_121921	2023-01-16
SRR23083816	SAMN32742907	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/016/SRR23083816/SRR23083816_1.fastq.gz	C_10922	2023-01-16
SRR23083817	SAMN32742906	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/017/SRR23083817/SRR23083817_1.fastq.gz	C_10222	2023-01-16
SRR23083818	SAMN32742950	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083818/SRR23083818.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083818/SRR23083818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083818/SRR23083818_2.fastq.gz	J_122621	2023-01-16
SRR23083819	SAMN32742950	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/019/SRR23083819/SRR23083819_1.fastq.gz	J_122621	2023-01-16
SRR23083820	SAMN32742949	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083820/SRR23083820.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083820/SRR23083820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083820/SRR23083820_2.fastq.gz	J_121921	2023-01-16
SRR23083821	SAMN32742949	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/021/SRR23083821/SRR23083821_1.fastq.gz	J_121921	2023-01-16
SRR23083822	SAMN32742948	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083822/SRR23083822.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083822/SRR23083822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083822/SRR23083822_2.fastq.gz	J_121221	2023-01-16
SRR23083823	SAMN32742947	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/023/SRR23083823/SRR23083823.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/023/SRR23083823/SRR23083823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/023/SRR23083823/SRR23083823_2.fastq.gz	J_120521	2023-01-16
SRR23083824	SAMN32742899	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/024/SRR23083824/SRR23083824_1.fastq.gz	A_122621	2023-01-16
SRR23083825	SAMN32742894	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083825/SRR23083825.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083825/SRR23083825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083825/SRR23083825_2.fastq.gz	A_10222	2023-01-16
SRR23083826	SAMN32742894	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/026/SRR23083826/SRR23083826_1.fastq.gz	A_10222	2023-01-16
