run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083738	SAMN32742929	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/038/SRR23083738/SRR23083738.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/038/SRR23083738/SRR23083738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/038/SRR23083738/SRR23083738_2.fastq.gz	G_120521	2023-01-18
SRR23083739	SAMN32742929	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/039/SRR23083739/SRR23083739_1.fastq.gz	G_120521	2023-01-16
SRR23083740	SAMN32742928	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23083740/SRR23083740.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23083740/SRR23083740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23083740/SRR23083740_2.fastq.gz	G_10922	2023-01-18
SRR23083741	SAMN32742928	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/041/SRR23083741/SRR23083741_1.fastq.gz	G_10922	2023-01-16
SRR23083742	SAMN32742927	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23083742/SRR23083742.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23083742/SRR23083742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23083742/SRR23083742_2.fastq.gz	G_10222	2023-01-18
SRR23083743	SAMN32742927	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/043/SRR23083743/SRR23083743_1.fastq.gz	G_10222	2023-01-16
SRR23083744	SAMN32742926	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23083744/SRR23083744.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23083744/SRR23083744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23083744/SRR23083744_2.fastq.gz	F_122621	2023-01-18
SRR23083745	SAMN32742897	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/045/SRR23083745/SRR23083745_1.fastq.gz	A_121221	2023-01-16
SRR23083746	SAMN32742926	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/046/SRR23083746/SRR23083746_1.fastq.gz	F_122621	2023-01-16
SRR23083747	SAMN32742925	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23083747/SRR23083747.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23083747/SRR23083747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23083747/SRR23083747_2.fastq.gz	F_121921	2023-01-18
SRR23083748	SAMN32742925	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/048/SRR23083748/SRR23083748_1.fastq.gz	F_121921	2023-01-16
SRR23083749	SAMN32742924	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23083749/SRR23083749.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23083749/SRR23083749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23083749/SRR23083749_2.fastq.gz	F_121221	2023-01-18
SRR23083750	SAMN32742924	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/050/SRR23083750/SRR23083750_1.fastq.gz	F_121221	2023-01-16
SRR23083751	SAMN32742923	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/051/SRR23083751/SRR23083751.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/051/SRR23083751/SRR23083751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/051/SRR23083751/SRR23083751_2.fastq.gz	F_120521	2023-01-18
SRR23083752	SAMN32742923	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/052/SRR23083752/SRR23083752_1.fastq.gz	F_120521	2023-01-16
SRR23083753	SAMN32742922	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/053/SRR23083753/SRR23083753.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/053/SRR23083753/SRR23083753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/053/SRR23083753/SRR23083753_2.fastq.gz	F_10922	2023-01-18
SRR23083754	SAMN32742922	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/054/SRR23083754/SRR23083754_1.fastq.gz	F_10922	2023-01-16
SRR23083755	SAMN32742921	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/055/SRR23083755/SRR23083755.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/055/SRR23083755/SRR23083755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/055/SRR23083755/SRR23083755_2.fastq.gz	F_10222	2023-01-18
SRR23083756	SAMN32742896	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/056/SRR23083756/SRR23083756.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/056/SRR23083756/SRR23083756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/056/SRR23083756/SRR23083756_2.fastq.gz	A_120521	2023-01-18
SRR23083757	SAMN32742921	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/057/SRR23083757/SRR23083757_1.fastq.gz	F_10222	2023-01-16
