SRR13167434
SRR13167435
SRR13167437
SRR13167438
SRR13167441
SRR13176755
SRR13176756
SRR13176767
SRR13176771
SRR13176903
SRR13176904
SRR13176907
SRR13176910
SRR13176912
SRR13176913
SRR13176914
SRR13176915
SRR13176919
SRR13176920
SRR13176922
SRR13177051
SRR13177059
SRR13177060
SRR13177061
SRR13177062
SRR13177066
SRR13177067
SRR13177069
SRR13177075
SRR13177079
SRR13177084
SRR13177089
SRR13177090
SRR13177093
SRR13177097
SRR13177098
SRR13711298
SRR13711300
SRR13711301
SRR13711302
SRR13711305
SRR13711855
SRR13711856
SRR13711860
SRR13711861
SRR13711874
SRR13711875
SRR13711876
SRR13711881
SRR13711886
SRR13711887
SRR13711888
SRR13711894
SRR13711895
SRR13711901
SRR13711903
SRR13711906
SRR13711911
SRR13711913
SRR13711918
SRR13711919
SRR13711924
SRR13711925
SRR13711926
SRR13711928
SRR13711929
SRR13711930
SRR13711931
SRR13712251
SRR13712255
SRR13712260
SRR13712270
SRR13712274
SRR13712278
SRR13712280
SRR13712288
SRR13712299
SRR13712301
SRR13712303
SRR13712308
SRR13712309
SRR13712310
SRR13712311
SRR13712316
SRR13712317
SRR13712318
SRR13712319
SRR13712320
SRR13712324
SRR13712330
SRR13712333
SRR13712344
SRR13712348
SRR13712349
SRR13712350
SRR14155280
SRR13167439
SRR13167442
SRR13167443
SRR13176758
SRR13176761
SRR13176763
SRR13176764
SRR13176765
SRR13176766
SRR13176770
SRR13176911
SRR13176921
SRR13177052
SRR13177053
SRR13177054
SRR13177055
SRR13177056
SRR13177058
SRR13177068
SRR13177071
SRR13177072
SRR13177073
SRR13177076
SRR13177078
SRR13177082
SRR13177083
SRR13177085
SRR13177086
SRR13177087
SRR13177092
SRR13177095
SRR13177096
SRR13177100
SRR13711306
SRR13711853
SRR13711854
SRR13711857
SRR13711862
SRR13711863
SRR13711865
SRR13711866
SRR13711867
SRR13711870
SRR13711871
SRR13711872
SRR13711877
SRR13711878
SRR13711880
SRR13711883
SRR13711884
SRR13711889
SRR13711890
SRR13711891
SRR13711892
SRR13711896
SRR13711897
SRR13711898
SRR13711902
SRR13711905
SRR13711907
SRR13711912
SRR13711914
SRR13711915
SRR13711916
SRR13711921
SRR13711923
SRR13712247
SRR13712248
SRR13712250
SRR13712253
SRR13712256
SRR13712262
SRR13712263
SRR13712265
SRR13712266
SRR13712268
SRR13712272
SRR13712273
SRR13712275
SRR13712276
SRR13712277
SRR13712279
SRR13712287
SRR13712289
SRR13712290
SRR13712291
SRR13712292
SRR13712295
SRR13712296
SRR13712297
SRR13712298
SRR13712300
SRR13712304
SRR13712306
SRR13712312
SRR13712313
SRR13712322
SRR13712328
SRR13712331
SRR13712338
SRR13712342
SRR13712345
SRR13712347
SRR13712351
SRR13712352
SRR13966303
SRR13966304
SRR14088347
SRR14088538
SRR14099091
SRR14106159
SRR13167436
SRR13167440
SRR13176757
SRR13176759
SRR13176760
SRR13176762
SRR13176768
SRR13176769
SRR13176772
SRR13176773
SRR13176774
SRR13176905
SRR13176906
SRR13176908
SRR13176909
SRR13176916
SRR13176917
SRR13176918
SRR13177050
SRR13177057
SRR13177063
SRR13177064
SRR13177065
SRR13177070
SRR13177074
SRR13177077
SRR13177080
SRR13177081
SRR13177088
SRR13177091
SRR13177094
SRR13177099
SRR13711299
SRR13711303
SRR13711304
SRR13711307
SRR13711858
SRR13711859
SRR13711864
SRR13711868
SRR13711869
SRR13711873
SRR13711879
SRR13711882
SRR13711885
SRR13711893
SRR13711899
SRR13711900
SRR13711904
SRR13711908
SRR13711909
SRR13711910
SRR13711917
SRR13711920
SRR13711922
SRR13711927
SRR13712249
SRR13712252
SRR13712254
SRR13712257
SRR13712258
SRR13712259
SRR13712261
SRR13712264
SRR13712267
SRR13712269
SRR13712271
SRR13712281
SRR13712282
SRR13712283
SRR13712284
SRR13712285
SRR13712286
SRR13712293
SRR13712294
SRR13712302
SRR13712305
SRR13712307
SRR13712314
SRR13712315
SRR13712321
SRR13712323
SRR13712325
SRR13712326
SRR13712327
SRR13712329
SRR13712332
SRR13712334
SRR13712335
SRR13712336
SRR13712337
SRR13712339
SRR13712340
SRR13712341
SRR13712343
SRR13712346
