ERR1713331	Albania	Tirana	02-01-2016
ERR1713332	Australia	Canberra	02-04-2016
ERR1713333	Australia	Melbourne	02-08-2016
ERR1713335	Bulgaria	Sofia	02-04-2016
ERR1713336	Brazil	Belo Horizonte	02/16/2016
ERR1713337	Brazil	Bel?m	02/15/2016
ERR1713338	Botswana	Gaborone	01/25/2016
ERR1713339	Canada	Regina	01/26/2016
ERR1713340	Canada	Calgary	02-01-2016
ERR1713341	Canada	Toronto	02-01-2016
ERR1713342	Canada	Ottawa	01/26/2016
ERR1713343	Switzerland	Bern	01/27/2016
ERR1713344	China	Guangzhou	01/28/2016
ERR1713345	C?te d'Ivoire	Abidjan	01/25/2016
ERR1713346	Colombia	Bogota	01/27/2016
ERR1713347	Czech Rep	Prague	02-01-2016
ERR1713348	Germany	Berlin	02-08-2016
ERR1713349	Denmark	Copenhagen, Hvidovre/Aved?re	03-02-2016
ERR1713350	Denmark	Copenhagen, Valby	03-02-2016
ERR1713351	Denmark	Copenhagen	03-02-2016
ERR1713352	Ecuador	Quito	02-01-2016
ERR1713353	Ecuador	San Cristobal Island, Gal?pagos	02-06-2016
ERR1713354	Spain	Barcelona	02-10-2016
ERR1713355	Ethiopia	Addis Ababa	02-01-2016
ERR1713356	Finland	Helsinki	01/26/2016
ERR1713357	Georgia	Tbilisi	01/25/2016
ERR1713358	Ghana	Tamale	01/30/2016
ERR1713359	Gambia	Banjul	01/28/2016
ERR1713360	Croatia	Zagreb 	02-01-2016
ERR1713361	Hungary	Budapest	02-02-2016
ERR1713362	India	Kochi	01/27/2016
ERR1713363	Ireland	Galway	02-10-2016
ERR1713364	Iran, Islamic Republic of	Tehran	02-02-2016
ERR1713365	Iceland	Reykjav?k	02-02-2016
ERR1713366	Israel	Jerusalem	01/31/2016
ERR1713367	Italy	Rome	02-02-2016
ERR1713368	Kazakhstan	Almaty	02-02-2016
ERR1713369	Kenya	Nairobi	02-08-2016
ERR1713370	Cambodia	Phnom Penh	02-05-2016
ERR1713371	Sri Lanka	Colombo	02/28/2016
ERR1713372	Luxembourg	Luxembourg-city	02-01-2016
ERR1713373	Latvia	Riga	02-01-2016
ERR1713374	Moldova		
ERR1713375	Macedonia, Republic of	Skopje	02-02-2016
ERR1713376	Malta	Xghajra	02-01-2016
ERR1713377	Malaysia	Kuala Lumpur	02-04-2016
ERR1713378	Nigeria	Lagos	02-02-2016
ERR1713379	Netherlands	Amsterdam	01/27/2016
ERR1713380	Norway	Oslo	02-03-2016
ERR1713381	Nepal	Kathmandu	01/30/2016
ERR1713382	New Zealand	Dunedin	01/27/2016
ERR1713383	Poland	Pulawy	02-02-2016
ERR1713384	Pakistan	Karachi	01/27/2016
ERR1713385	Peru	Lima	02-04-2016
ERR1713386	Senegal	Dakar	02-02-2016
ERR1713387	Singapore	Singapore, Clementi	02-03-2016
ERR1713388	Serbia	Belgrade	01/27/2016
ERR1713389	Slovakia	in Bratislava	02-02-2016
ERR1713390	Slovenia	Ljubljana	01/25/2016
ERR1713391	Sweden	Uppsala	02-02-2016
ERR1713392	Sweden	Gothenburg	02-11-2016
ERR1713393	Chad	N'Djamena	01/26/2016
ERR1713394	Togo	Lom?	01/29/2016
ERR1713395	Turkey	Ankara	02-03-2016
ERR1713396	Tanzania	Moshi	02-03-2016
ERR1713397	United States of America	Atlanta, GA	02-02-2016
ERR1713398	United States of America	Seattle, WA	02-01-2016
ERR1713399	United States of America	Chicago, IL	02/24/2016
ERR1713400	United States of America	El Paso, TX	02/23/2016
ERR1713401	United States of America	Portland, OR	02-10-2016
ERR1713402	United States of America	El Paso, TX	02/22/2016
ERR1713403	United States of America	El Paso, TX	02/22/2016
ERR1713404	United States of America	El Paso, TX	02/23/2016
ERR1713405	United States of America		
ERR1713406	United States of America	Boulder, CO 	03/28/2016
ERR1713407	Viet Nam	Ho Chi Minh city	01/27/2016
ERR1713408	Kosova	Prishtina	02-03-2016
ERR1713409	South Africa	Pretoria	02-04-2016
ERR1713410	Zambia	Lusaka	01/25/2016
ERR1713411	Zambia	Kitwe	01-12-2016
ERR1725938	Albania	Tirana	02-01-2016
ERR1725939	Australia	Canberra	02-04-2016
ERR1725940	Australia	Canberra	02-04-2016
ERR1725941	Australia	Melbourne	02-08-2016
ERR1725942	Australia	Melbourne	02-08-2016
ERR1725943	Australia	Melbourne	02-08-2016
ERR1725944	Australia	Melbourne	02-08-2016
ERR1725947	Bulgaria	Sofia	02-04-2016
ERR1725948	Bulgaria	Sofia	02-04-2016
ERR1725949	Brazil	Belo Horizonte	02/16/2016
ERR1725950	Brazil	Bel?m	02/15/2016
ERR1725951	Brazil	Bel?m	02/15/2016
ERR1725952	Botswana	Gaborone	01/25/2016
ERR1725953	Botswana	Gaborone	01/25/2016
ERR1725954	Canada	Regina	01/26/2016
ERR1725955	Canada	Calgary	02-01-2016
ERR1725956	Canada	Calgary	02-01-2016
ERR1725957	Canada	Calgary	02-01-2016
ERR1725958	Canada	Calgary	02-01-2016
ERR1725959	Canada	Toronto	02-01-2016
ERR1725960	Canada	Toronto	02-01-2016
ERR1725961	Switzerland	Bern	01/27/2016
ERR1725962	Switzerland	Bern	01/27/2016
ERR1725963	Switzerland	Bern	01/27/2016
ERR1725964	Switzerland	Bern	01/27/2016
ERR1725965	C?te d'Ivoire	Abidjan	01/25/2016
ERR1725966	Czech Rep	Prague	02-01-2016
ERR1725967	Germany	Berlin	02-08-2016
ERR1725968	Germany	Berlin	02-08-2016
ERR1725969	Spain	Barcelona	02-10-2016
ERR1725970	Spain	Barcelona	02-10-2016
ERR1725971	Spain	Barcelona	02-10-2016
ERR1725972	Spain	Barcelona	02-10-2016
ERR1725973	Finland	Helsinki	01/26/2016
ERR1725974	Georgia	Tbilisi	01/25/2016
ERR1725975	Georgia	Tbilisi	01/25/2016
ERR1725976	Croatia	Zagreb 	02-01-2016
ERR1725977	Croatia	Zagreb 	02-01-2016
ERR1725978	India	Kochi	01/27/2016
ERR1725979	Ireland	Galway	02-10-2016
ERR1725980	Ireland	Galway	02-10-2016
ERR1725981	Iran, Islamic Republic of	Tehran	02-02-2016
ERR1725982	Iceland	Reykjav?k	02-02-2016
ERR1725983	Israel	Jerusalem	01/31/2016
ERR1725984	Israel	Jerusalem	01/31/2016
ERR1725985	Kenya	Nairobi	02-08-2016
ERR1725986	Kenya	Nairobi	02-08-2016
ERR1725987	Latvia	Riga	02-01-2016
ERR1725988	Moldova		
ERR1725989	Moldova		
ERR1725990	Macedonia, Republic of	Skopje	02-02-2016
ERR1725991	Macedonia, Republic of	Skopje	02-02-2016
ERR1725992	Malta	Xghajra	02-01-2016
ERR1725993	Malta	Xghajra	02-01-2016
ERR1725994	Malaysia	Kuala Lumpur	02-04-2016
ERR1725995	Malaysia	Kuala Lumpur	02-04-2016
ERR1725996	Nigeria	Lagos	02-02-2016
ERR1725997	Netherlands	Amsterdam	01/27/2016
ERR1725998	Netherlands	Amsterdam	01/27/2016
ERR1725999	Norway	Oslo	02-03-2016
ERR1726000	Poland	Pulawy	02-02-2016
ERR1726001	Singapore	Singapore, Clementi	02-03-2016
ERR1726002	Serbia	Belgrade	01/27/2016
ERR1726003	Slovakia	in Bratislava	02-02-2016
ERR1726004	Slovenia	Ljubljana	01/25/2016
ERR1726005	Sweden	Gothenburg	02-11-2016
ERR1726006	Sweden	Gothenburg	02-11-2016
ERR1726007	Chad	N'Djamena	01/26/2016
ERR1726008	Chad	N'Djamena	01/26/2016
ERR1726009	Turkey	Ankara	02-03-2016
ERR1726010	United States of America	Seattle, WA	02-01-2016
ERR1726011	United States of America	Seattle, WA	02-01-2016
ERR1726012	United States of America	Chicago, IL	02/24/2016
ERR1726013	United States of America	Chicago, IL	02/24/2016
ERR1726014	United States of America	Chicago, IL	02/24/2016
ERR1726015	United States of America	Chicago, IL	02/24/2016
ERR1726016	United States of America	Portland, OR	02-10-2016
ERR1726017	United States of America	Portland, OR	02-10-2016
ERR1726018	United States of America	El Paso, TX	02/22/2016
ERR1726019	United States of America	El Paso, TX	02/22/2016
ERR1726020	United States of America	El Paso, TX	02/22/2016
ERR1726021	United States of America	El Paso, TX	02/22/2016
ERR1726022	United States of America	El Paso, TX	02/22/2016
ERR1726023	United States of America	El Paso, TX	02/22/2016
ERR1726024	United States of America	El Paso, TX	02/23/2016
ERR1726025	United States of America	El Paso, TX	02/23/2016
ERR1726026	United States of America	El Paso, TX	02/23/2016
ERR1726027	United States of America	El Paso, TX	02/23/2016
ERR1726028	United States of America	El Paso, TX	02/23/2016
ERR1726029	United States of America	El Paso, TX	02/23/2016
ERR1726030	South Africa	Pretoria	02-04-2016
ERR1726031	Zambia	Lusaka	01/25/2016
ERR1726032	Zambia	Kitwe	01-12-2016
ERR1726033	Zambia	Kitwe	01-12-2016
ERR1726034	Zambia	Kitwe	01-12-2016
ERR1726035	Zambia	Kitwe	01-12-2016
ERR2592244	Albania	Tirana	02-01-2016
ERR2592245	Australia	Canberra	02-04-2016
ERR2592247	Bulgaria	Sofia	02-04-2016
ERR2592248	Brazil	Belo Horizonte	02/16/2016
ERR2592249	Botswana	Gaborone	01/25/2016
ERR2592250	Canada	Toronto	02-01-2016
ERR2592251	Switzerland	Bern	01/27/2016
ERR2592252	C?te d'Ivoire	Abidjan	01/25/2016
ERR2592253	Czech Rep	Prague	02-01-2016
ERR2592254	Germany	Berlin	02-08-2016
ERR2592255	Finland	Helsinki	01/26/2016
ERR2592256	Georgia	Tbilisi	01/25/2016
ERR2592257	Croatia	Zagreb 	02-01-2016
ERR2592258	India	Kochi	01/27/2016
ERR2592259	Iran, Islamic Republic of	Tehran	02-02-2016
ERR2592260	Iceland	Reykjav?k	02-02-2016
ERR2592261	Kenya	Nairobi	02-08-2016
ERR2592262	Latvia	Riga	02-01-2016
ERR2592263	Macedonia, Republic of	Skopje	02-02-2016
ERR2592264	Malaysia	Kuala Lumpur	02-04-2016
ERR2592265	Nigeria	Lagos	02-02-2016
ERR2592266	Netherlands	Amsterdam	01/27/2016
ERR2592267	Norway	Oslo	02-03-2016
ERR2592268	Poland	Pulawy	02-02-2016
ERR2592269	Singapore	Singapore, Clementi	02-03-2016
ERR2592270	Serbia	Belgrade	01/27/2016
ERR2592271	Slovenia	Ljubljana	01/25/2016
ERR2592272	Chad	N'Djamena	01/26/2016
ERR2592273	Turkey	Ankara	02-03-2016
ERR2592274	United States of America	Seattle, WA	02-01-2016
ERR2592275	United States of America	Chicago, IL	02/24/2016
ERR2592276	United States of America	El Paso, TX	02/23/2016
ERR2592277	United States of America	Portland, OR	02-10-2016
ERR2592278	United States of America	El Paso, TX	02/22/2016
ERR2592279	United States of America	El Paso, TX	02/22/2016
ERR2592280	United States of America	El Paso, TX	02/23/2016
ERR2592281	South Africa	Pretoria	02-04-2016
ERR2592282	Zambia	Lusaka	01/25/2016
ERR2592283	Zambia	Kitwe	01-12-2016
ERR2592328	Australia	Canberra	02-04-2016
