SRR24706503	WC0Dc-210223-14_B03
SRR24706504	WG0P-210223-14_B03
SRR24706507	WG0Hp-210223-14_B03
SRR24706510	WG0W-210223-14_B03
SRR24706513	WG0V-210223-14_B03
SRR24706515	WG0Hm-210427-14_B05
SRR24706523	WG02-20200930-14_B02
SRR24706527	WM05-20200930-05_B02
SRR24706530	WG02-20200930-05_B02
SRR24706533	WCDc-210112-14_B02
SRR24706535	WG01-210105-14_B02
SRR24706537	WG0E-201118-14_B02
SRR24706541	WG0P-201125-14_B02
SRR24706545	WG0S-201125-14_B02
SRR24706548	WG02-201125-14_B02
SRR24706549	WG01-201125-14_B02
SRR24706550	WR03-210427-14_B05
SRR24706551	WG0P-201216-14_B02
SRR24706556	WG0P-210511-14_B05
SRR24706557	WG0L-210511-14_B05
SRR24706563	WR03-210622-14_B06
SRR24706565	WR03-210608-14_B06
SRR24706569	WM08-210622-14_B06
SRR24706571	WM08-210608-14_B06
SRR24706572	WM08-210601-14_B06
SRR24706574	WM08-210518-14_B06
SRR24706576	WG02c-210615-14_B06
SRR24706579	WG02c-210518-14_B06
SRR24706580	WG01-210622-14_B06
SRR24706581	WG01-210615-14_B06
SRR24706586	WG01-210518-14_B06
SRR24706595	WC0Dc-210608-14_B06
SRR24706598	Positive-Control_Extraction_Batch04
SRR24706600	WG0V-210420-14_B04
SRR24706602	WG02c-210420-14_B04
SRR24706604	WG0P-210504-14_B05
SRR24706605	WG01-210420-14_B04
SRR24706606	WC0Dg-210413-14_B04
SRR24706608	WG0P-210413-14_B04
SRR24706609	WG0L-210413-14_B04
SRR24706614	WG0R-210413-14_B04
SRR24706619	WG0P-210216-14_B03
SRR24706621	WG0N-210216-14_B03
SRR24706623	WG0Hm-210216-14_B03
SRR24706625	WG0A-210216-14_B03
SRR24706626	WG02g-210504-14_B05
SRR24706629	WG02-210216-14_B03
SRR24706630	WG0P-210202-14_B03
SRR24706636	WG0Hp-210119-14_B03
SRR24706640	WG0R-210119-14_B03
SRR24706642	WG0Hm-210420-14_B05
SRR24706643	WG0V-210119-14_B03
SRR24706647	WC0Dc-210126-14_B03
SRR24706649	WG0P-210126-14_B03
SRR24706653	WG0N-210427-14_B05
SRR24706656	WG0U-201216-14_B02
SRR24706657	WG02-201216-14_B02
SRR24706665	WM06-201209-14_B02
SRR24706668	WGOP-201202-14_B02
SRR24706671	WG0H-201202-14_B02
SRR24706672	WG02g-210427-14_B05
SRR24706673	WG0W-210420-14_B05
SRR24706676	WGOK-210402_B06
SRR24706682	WG0P-210615-14_B06
SRR24706684	WG0P-210601-14_B06
SRR24706685	WG02c-210511-14_B05
SRR24706688	WG0L-210615-14_B06
SRR24706691	WG0L-210525-14_B06
SRR24706692	WG0Kg-210622-14_B06
SRR24706693	WG0Kg-210615-14_B06
SRR24706694	WG0Kg-210608-14_B06
SRR24706695	WG0Kg-210601-14_B06
SRR24706697	WG0N-210420-14_B05
SRR24706700	WG0Kc-210601-14_B06
SRR24706702	WG0A-210608-14_B06
SRR24706703	WG0A-210601-14_B06
SRR24706706	WG02g-210622-14_B06
SRR24706707	WG02g-210615-14_B06
SRR24706709	WG02g-210608-14_B06
SRR24706710	WG02g-210601-14_B06
SRR24706711	WG02g-210525-14_B06
SRR24706712	WG0Hp-210316-14_B04
SRR24706716	WG0R-210316-14_B04
SRR24706722	WC0Dg-210309-14_B04
SRR24706723	WC0Dc-210309-14_B04
SRR24706727	WG0Hp-210309-14_B04
SRR24706728	WG0Hm-210309-14_B04
SRR24706732	WG02-210223-14_B03
SRR24706734	WC0Dc-210209-14_B03
SRR24706740	Positive-Control_Extraction_Batch03
SRR24706744	WG0R-210209-14_B03
SRR24706746	WG02-210209-14_B03
SRR24706750	WG0P-210119-14_B03
SRR24706755	A1900-13-14_B05
SRR24706756	A1500-9-14_B05
SRR24706761	A0900-3-14_B05
SRR24706769	WG0P-210518-14_B05
SRR24706773	WG02g-210406-14_B04
SRR24706774	WG01-210406-14_B04
SRR24706777	WC0Dc-210330-14_B04
SRR24706781	WG0Hp-210330-14_B04
SRR24706783	WG0W-210330-14_B04
SRR24706786	WG0Hm-210504-14_B05
