run_accession	sample_accession	fastq_ftp	sample_alias
SRR14530746	SAMN19167897	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530746/SRR14530746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530746/SRR14530746_2.fastq.gz	HTP_9_08_2020
SRR14530747	SAMN19167968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/047/SRR14530747/SRR14530747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/047/SRR14530747/SRR14530747_2.fastq.gz	NC_8_14_2020_INF_unenriched
SRR14530748	SAMN19167967	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/048/SRR14530748/SRR14530748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/048/SRR14530748/SRR14530748_2.fastq.gz	NC_10_23_2020_INF_unenriched
SRR14530749	SAMN19167966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/049/SRR14530749/SRR14530749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/049/SRR14530749/SRR14530749_2.fastq.gz	NC_10_09_2020_INF_unenriched
SRR14530750	SAMN19167965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/050/SRR14530750/SRR14530750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/050/SRR14530750/SRR14530750_2.fastq.gz	JWPCP_9_22_2020_INF_unenriched
SRR14530751	SAMN19167964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/051/SRR14530751/SRR14530751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/051/SRR14530751/SRR14530751_2.fastq.gz	JWPCP_9_15_2020_INF_unenriched
SRR14530752	SAMN19167963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/052/SRR14530752/SRR14530752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/052/SRR14530752/SRR14530752_2.fastq.gz	JWPCP_9_08_2020_INF_unenriched
SRR14530753	SAMN19167962	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/053/SRR14530753/SRR14530753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/053/SRR14530753/SRR14530753_2.fastq.gz	JWPCP_9_01_2020_INF_unenriched
SRR14530754	SAMN19167961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/054/SRR14530754/SRR14530754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/054/SRR14530754/SRR14530754_2.fastq.gz	JWPCP_8_25_2020_INF_unenriched
SRR14530755	SAMN19167960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/055/SRR14530755/SRR14530755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/055/SRR14530755/SRR14530755_2.fastq.gz	JWPCP_8_18_2020_INF_unenriched
SRR14530756	SAMN19167959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/056/SRR14530756/SRR14530756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/056/SRR14530756/SRR14530756_2.fastq.gz	JWPCP_8_11_2020_INF_unenriched
SRR14530757	SAMN19167896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/057/SRR14530757/SRR14530757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/057/SRR14530757/SRR14530757_2.fastq.gz	HTP_9_01_2020
SRR14530758	SAMN19167958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/058/SRR14530758/SRR14530758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/058/SRR14530758/SRR14530758_2.fastq.gz	JWPCP_10_13_2020_INF_unenriched
SRR14530759	SAMN19167957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/059/SRR14530759/SRR14530759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/059/SRR14530759/SRR14530759_2.fastq.gz	JWPCP_10_06_2020_INF_unenriched
SRR14530760	SAMN19167956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/060/SRR14530760/SRR14530760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/060/SRR14530760/SRR14530760_2.fastq.gz	JW_10_27_2020_INF_unenriched
SRR14530761	SAMN19167955	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/061/SRR14530761/SRR14530761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/061/SRR14530761/SRR14530761_2.fastq.gz	JW_10_20_2020_INF_unenriched
SRR14530762	SAMN19167954	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/062/SRR14530762/SRR14530762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/062/SRR14530762/SRR14530762_2.fastq.gz	HTP_9_15_2020_INF_unenriched
SRR14530763	SAMN19167953	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/063/SRR14530763/SRR14530763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/063/SRR14530763/SRR14530763_2.fastq.gz	HTP_9_08_2020_INF_unenriched
SRR14530764	SAMN19167952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/064/SRR14530764/SRR14530764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/064/SRR14530764/SRR14530764_2.fastq.gz	HTP_9_01_2020_INF_unenriched
SRR14530765	SAMN19167951	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/065/SRR14530765/SRR14530765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/065/SRR14530765/SRR14530765_2.fastq.gz	HTP_8_25_2020_INF_unenriched
SRR14530766	SAMN19167950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/066/SRR14530766/SRR14530766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/066/SRR14530766/SRR14530766_2.fastq.gz	HTP_8_18_2020_INF_unenriched
SRR14530767	SAMN19167949	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/067/SRR14530767/SRR14530767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/067/SRR14530767/SRR14530767_2.fastq.gz	HTP_8_11_2020_INF_unenriched
SRR14530768	SAMN19167895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/068/SRR14530768/SRR14530768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/068/SRR14530768/SRR14530768_2.fastq.gz	HTP_8_25_2020
SRR14530769	SAMN19167948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/069/SRR14530769/SRR14530769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/069/SRR14530769/SRR14530769_2.fastq.gz	HTP_10_27_2020_INF_unenriched
SRR14530770	SAMN19167947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/070/SRR14530770/SRR14530770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/070/SRR14530770/SRR14530770_2.fastq.gz	HTP_10_20_2020_INF_unenriched
SRR14530771	SAMN19167946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/071/SRR14530771/SRR14530771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/071/SRR14530771/SRR14530771_2.fastq.gz	HTP_10_13_2020_INF_unenriched
SRR14530772	SAMN19167945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/072/SRR14530772/SRR14530772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/072/SRR14530772/SRR14530772_2.fastq.gz	HTP_10_02_2020_INF_unenriched
SRR14530773	SAMN19167944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/073/SRR14530773/SRR14530773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/073/SRR14530773/SRR14530773_2.fastq.gz	SJ_9_30_2020
SRR14530774	SAMN19167943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/074/SRR14530774/SRR14530774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/074/SRR14530774/SRR14530774_2.fastq.gz	SJ_9_16_2020
SRR14530775	SAMN19167942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/075/SRR14530775/SRR14530775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/075/SRR14530775/SRR14530775_2.fastq.gz	SJ_9_09_2020
