SRR24403399	GW4LCA	1	EPS K6	El Paso, TX	2022-08-11	6.1
SRR24403400	WDQR3U	1	HOU C1	Houston, TX	2022-11-22	NA
SRR24403401	VGTR4N	1	HOU C1	Houston, TX	2022-12-28	NA
SRR24403402	VGB3CL	1	HOU C1	Houston, TX	2023-01-19	NA
SRR24403403	CYE84M	1	HOU C1	Houston, TX	2022-07-06	NA
SRR24403404	PBKDWT	1	HOU C1	Houston, TX	2022-06-29	NA
SRR24403405	YR9QGH	1	HOU C1	Houston, TX	2022-10-18	NA
SRR24403406	VD7DN7	1	HOU C1	Houston, TX	2022-10-11	NA
SRR24403407	AZ9E5L	1	HOU C1	Houston, TX	2022-10-04	NA
SRR24403408	TSL6XD	1	HOU C1	Houston, TX	2022-09-28	NA
SRR24403409	GQFJQS	1	HOU C1	Houston, TX	2022-09-19	NA
SRR24403410	j9p9hf	1	HOU Z9	Houston, TX	2023-02-02	NA
SRR24403411	B6C2JA	1	HOU C1	Houston, TX	2022-09-13	NA
SRR24403412	CXBTCW	1	HOU C1	Houston, TX	2022-09-06	NA
SRR24403413	EHCTRU	1	HOU C1	Houston, TX	2022-08-30	NA
SRR24403414	BPGLAB	1	HOU C1	Houston, TX	2022-08-25	NA
SRR24403415	ZRKYA4	1	HOU C1	Houston, TX	2022-08-16	NA
SRR24403416	YM66DD	1	HOU Z9	Houston, TX	2022-12-28	NA
SRR24403417	AWAMUQ	1	HOU C1	Houston, TX	2022-11-01	NA
SRR24403418	k2tg4p	1	EPS Q9	El Paso, TX	2023-01-30	28.04
SRR24403419	WGNCSH	1	EPS Q9	El Paso, TX	2022-12-12	28.48
SRR24403420	TUY8KA	1	EPS Q9	El Paso, TX	2022-12-19	NA
SRR24403421	GG96FV	1	EPS Q9	El Paso, TX	2022-09-20	28.49
SRR24403422	DYP5HZ	1	EPS Q9	El Paso, TX	2022-09-12	28.49
SRR24403423	V3XEC2	1	EPS Q9	El Paso, TX	2022-09-06	28.53
SRR24403424	C35VMM	1	EPS Q9	El Paso, TX	2022-08-29	28.88
SRR24403425	JTWRYP	1	EPS Q9	El Paso, TX	2022-08-22	28.67
SRR24403426	CVXB62	1	EPS Q9	El Paso, TX	2022-08-15	27.65
SRR24403427	UZ7ENK	1	HOU Z9	Houston, TX	2023-01-10	NA
SRR24403428	PQQNWY	1	EPS Q9	El Paso, TX	2022-08-08	28.55
SRR24403429	RJDXU8	1	EPS Q9	El Paso, TX	2022-08-01	28.63
SRR24403430	SNRT2M	1	EPS Q9	El Paso, TX	2022-07-25	36.77
SRR24403431	HZSA4Z	1	EPS Q9	El Paso, TX	2022-07-18	26.9
SRR24403432	AVCMNV	1	HOU S3	Houston, TX	2022-08-30	NA
SRR24403433	DBSDP5	1	HOU S3	Houston, TX	2022-08-25	NA
SRR24403434	C8NC32	1	HOU S3	Houston, TX	2022-08-16	NA
SRR24403435	V4C275	1	HOU S3	Houston, TX	2022-08-10	NA
SRR24403436	CW6JFA	1	HOU Z9	Houston, TX	2022-11-22	NA
SRR24403437	M88RFE	1	HOU S3	Houston, TX	2022-08-03	NA
SRR24403438	S5N9R4	1	HOU S3	Houston, TX	2022-07-26	NA
SRR24403439	EEHBQB	1	HOU S3	Houston, TX	2022-07-19	NA
SRR24403440	EMPLPN	1	HOU S3	Houston, TX	2022-07-12	NA
SRR24403441	H5DUTZ	1	HOU S3	Houston, TX	2022-07-06	NA
SRR24403442	BGBW8F	1	HOU S3	Houston, TX	2022-06-29	NA
SRR24403443	MS2C8N	1	HOU S3	Houston, TX	2022-06-22	NA
SRR24403444	TCBA3U	1	HOU S3	Houston, TX	2022-06-15	NA
SRR24403445	RTRAY4	1	HOU S3	Houston, TX	2022-06-08	NA
SRR24403446	KNE3R8	1	HOU S3	Houston, TX	2022-11-01	NA
SRR24403447	PW297L	1	HOU Z9	Houston, TX	2022-10-25	NA
SRR24403448	M3SPVM	1	EPS J3	El Paso, TX	2022-10-31	8.86
SRR24403449	LG3ZYK	1	EPS J3	El Paso, TX	2022-11-28	12.05
SRR24403450	N6E9XA	1	EPS J3	El Paso, TX	2022-09-20	13.72
SRR24403451	UK2RZG	1	EPS J3	El Paso, TX	2022-09-12	7.78
SRR24403452	G9L4AY	1	EPS J3	El Paso, TX	2022-09-06	7.36
SRR24403453	KEXNFN	1	HOU Z9	Houston, TX	2022-10-11	NA
SRR24403454	N4V4GG	1	EPS J3	El Paso, TX	2022-08-29	8.52
SRR24403455	S9FRKV	1	EPS J3	El Paso, TX	2022-08-22	9.04
SRR24403456	UPDDA4	1	EPS J3	El Paso, TX	2022-08-15	8.38
SRR24403457	LJM8L4	1	EPS J3	El Paso, TX	2022-08-08	8.52
SRR24403458	LMJMHS	1	EPS J3	El Paso, TX	2022-08-01	8.96
SRR24403459	WYAGSA	1	EPS J3	El Paso, TX	2022-07-25	8.85
SRR24403460	YWM56V	1	EPS J3	El Paso, TX	2022-07-18	7.93
SRR24403461	N5PBFF	1	EPS J3	El Paso, TX	2022-07-11	7.6
SRR24403462	QSYQC5	1	EPS J3	El Paso, TX	2022-07-05	8.46
SRR24403463	ZN7JAZ	1	EPS J3	El Paso, TX	2022-06-29	6.99
SRR24403464	U699CT	1	HOU R5	Houston, TX	2023-01-25	NA
SRR24403465	R8ZQMC	1	HOU R5	Houston, TX	2022-12-13	NA
SRR24403466	M54LJP	1	HOU Z9	Houston, TX	2022-09-13	NA
SRR24403467	QNGH3A	1	HOU R5	Houston, TX	2022-12-20	NA
