SRR6837549	Effluent from Secondary Settling Tank (SST)	2016-10
SRR6837550	Effluent from Membrane Biorector (MBR)	2016-10
SRR6837551	Effluent from Primary Settling Tank (PST)	2016-10
SRR6837552	Influent	2016-10
SRR6837553	Effluent from Primary Settling Tank (PST)	2016-11
SRR6837554	Influent	2016-11
SRR6837555	Sludge (SLUDGE)	2016-10
SRR6837556	Effluent from Wet Well (WW)	2016-10
SRR6837557	Effluent from Secondary Settling Tank (SST)	2016-11
SRR6837558	Effluent from Membrane Biorector (MBR)	2016-11
SRR6837559	Influent	2017-05
SRR6837560	Effluent from Primary Settling Tank (PST)	2017-05
SRR6837561	Effluent from Membrane Biorector (MBR)	2017-05
SRR6837562	Effluent from Secondary Settling Tank (SST)	2017-05
SRR6837563	Effluent from Membrane Biorector (MBR)	2017-03
SRR6837564	Effluent from Secondary Settling Tank (SST)	2017-03
SRR6837565	Effluent from Wet Well (WW)	2017-03
SRR6837566	Sludge (SLUDGE)	2017-03
SRR6837567	Effluent from Membrane Biorector (MBR)	2017-08
SRR6837568	Effluent from Wet Well (WW)	2017-05
SRR6837569	Sludge (SLUDGE)	2017-05
SRR6837570	Effluent from Secondary Settling Tank (SST)	2017-08
SRR6837571	Sludge (SLUDGE)	2016-11
SRR6837572	Effluent from Wet Well (WW)	2016-11
SRR6837573	Effluent from Primary Settling Tank (PST)	2017-01
SRR6837574	Influent	2017-01
SRR6837575	Effluent from Secondary Settling Tank (SST)	2017-01
SRR6837576	Effluent from Membrane Biorector (MBR)	2017-01
SRR6837577	Sludge (SLUDGE)	2017-01
SRR6837578	Effluent from Wet Well (WW)	2017-01
SRR6837579	Effluent from Primary Settling Tank (PST)	2017-03
SRR6837580	Influent	2017-03
SRR6837581	Effluent from Primary Settling Tank (PST)	2017-08
SRR6837582	Influent	2017-08
SRR6837583	Sludge (SLUDGE)	2017-08
SRR6837584	Effluent from Wet Well (WW)	2017-08
