ERR3562836	Avedoere	2015-11-23
ERR3562837	Avedoere	2015-12-02
ERR3562838	Avedoere	2016-01-09
ERR3562839	Avedoere	2016-01-11
ERR3562840	Avedoere	2016-01-20
ERR3562841	Avedoere	2016-01-22
ERR3562842	Avedoere	2016-02-18
ERR3562843	Avedoere	2015-12-01
ERR3562844	Valby	2015-12-06
ERR3562845	Valby	2015-12-07
ERR3562846	Valby	2015-12-09
ERR3562847	Valby	2015-12-12
ERR3562848	Valby	2015-12-17
ERR3562849	Valby	2015-12-21
ERR3562850	Valby	2015-12-28
ERR3562851	Valby	2015-12-29
ERR3562852	Valby	2016-01-05
ERR3562853	Valby	2016-01-09
ERR3562854	Valby	2016-01-11
ERR3562855	Valby	2016-01-20
ERR3562856	Valby	2016-01-22
ERR3562857	Valby	2016-01-28
ERR3562858	Valby	2016-02-08
ERR3562859	Valby	2016-02-12
ERR3562860	Valby	2016-02-18
ERR3562861	Amager	2015-11-20
ERR3562862	Amager	2015-11-25
ERR3562863	Amager	2015-12-01
ERR3562864	Amager	2015-12-09
ERR3562865	Amager	2015-12-15
ERR3562866	Amager	2015-12-17
ERR3562867	Amager	2015-12-21
ERR3562868	Amager	2015-12-28
ERR3562869	Amager	2015-12-29
ERR3562870	Amager	2016-01-05
ERR3562871	Amager	2016-01-11
ERR3562872	Amager	2016-01-17
ERR3562873	Amager	2016-01-28
ERR3562874	Amager	2016-02-08
ERR3562875	Amager	2016-02-12
ERR3562876	Amager	2016-02-18
ERR3562877	Amager	2016-05-16
ERR3562878	Amager	2016-05-20
ERR3562879	Valby	2016-05-20
ERR3562880	Amager	2016-05-25
ERR3562881	Valby	2016-05-25
ERR3562882	Amager	2016-05-28
ERR3562883	Valby	2016-05-28
ERR3562884	Valby	2016-06-08
ERR3562885	Valby	2016-06-08
ERR3562886	Amager	2016-06-08
ERR3562887	Amager	2016-06-08
ERR3562888	Amager	2016-06-08
ERR3562889	Avedoere	2016-06-12
ERR3562890	Avedoere	2016-06-12
ERR3562891	Avedoere	2016-06-12
ERR3562892	Amager	2016-06-12
ERR3562893	Amager	2016-06-12
ERR3562894	Valby	2016-06-12
ERR3562895	Valby	2016-06-12
ERR3562896	Amager	2016-06-14
ERR3562897	Amager	2016-06-14
ERR3562898	Valby	2016-06-18
ERR3562899	Avedoere	2016-06-18
ERR3562900	Amager	2016-06-18
ERR3562901	Amager	2016-06-27
ERR3562902	Valby	2016-06-27
ERR3562903	Valby	2016-07-02
ERR3562904	Amager	2016-07-04
ERR3562905	Avedoere	2016-07-04
ERR3562906	Valby	2016-07-04
ERR3562907	Amager	2016-07-02
ERR3562908	Valby	2016-07-13
ERR3562909	Amager	2016-07-13
ERR3562910	Avedoere	2016-07-17
ERR3562911	Amager	2016-07-17
ERR3562912	Valby	2016-07-18
ERR3562913	Amager	2016-07-20
ERR3562914	Valby	2016-07-20
ERR3562915	Amager	2016-07-22
ERR3562916	Valby	2016-07-22
ERR3562917	Avedoere	2016-08-08
ERR3562918	Avedoere	2016-08-02
ERR3562919	Valby	2016-08-02
ERR3562920	Amager	2016-08-10
ERR3562921	Valby	2016-08-10
ERR3562922	Amager	2016-08-16
ERR3562923	Amager	2016-08-18
ERR3562924	Valby	2016-08-18
ERR3562925	Amager	2016-08-22
ERR3562926	Avedoere	2016-08-16
ERR3562927	Valby	2016-08-16
ERR3562928	Valby	2016-08-22
ERR3562929	Amager	2016-08-29
ERR3562930	Amager	2016-08-29
ERR3562931	Valby	2016-08-29
ERR3562932	Valby	2016-09-07
ERR3562933	Amager	2016-09-07
ERR3562934	Avedoere	2016-09-07
ERR3562935	Avedoere	2016-09-07
ERR3562936	Valby	2016-09-13
ERR3562937	Amager	2016-09-13
ERR3562938	Amager	2016-09-18
ERR3562939	Valby	2016-09-18
ERR3562940	Amager	2016-09-21
ERR3562941	Avedoere	2016-09-21
ERR3562942	Valby	2016-09-21
ERR3562943	Amager	2016-09-24
ERR3562944	Valby	2016-09-29
ERR3562945	Valby	2016-10-02
ERR3562946	Amager	2016-10-06
ERR3562947	Avedoere	2016-10-06
ERR3562948	Valby	2016-10-06
ERR3562949	Amager	2016-10-09
ERR3562950	Valby	2016-10-09
ERR3562951	Amager	2016-10-12
ERR3562952	Valby	2016-10-12
ERR3562953	Avedoere	2016-10-15
ERR3562954	Valby	2016-10-15
ERR3562955	Amager	2016-10-23
ERR3562956	Valby	2016-11-02
ERR3562957	Valby	2016-11-05
ERR3562958	Avedoere	2016-11-05
ERR3562959	Amager	2016-11-13
ERR3562960	Valby	2016-11-13
ERR3562961	Amager	2016-11-17
ERR3562962	Avedoere	2016-11-17
ERR3562963	Valby	2016-11-17
ERR3562964	Amager	2016-11-02
ERR3562965	Amager	2016-11-09
ERR3562966	Valby	2016-11-09
ERR3562967	Valby	2016-11-26
ERR3562968	Amager	2016-11-26
